name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Meşhur Dondurmacı Ali Usta,,(0216) 414 18 80,"Caferağa, Moda Cd., 34710 Kadıköy/İstanbul",₺₺₺,"4,1",4.147 Google yorumu,Dondurma dükkanı,,₺₺₺,,10:00–03:00 10:00–03:00 10:00–03:00Saatler değişebilir 10:00–03:00 10:00–03:00 10:00–03:00 10:00–03:00 ,,,,,,Açılmak üzere,
"Girandola Gelato, Yeniköy",http://www.girandola.com.tr/,(0212) 262 64 62,"Yeniköy, O-2, Arpacı Ali Sk. No:1, 34464 Sarıyer/İstanbul",₺₺₺,"4,5",147 Google yorumu,Dondurma dükkanı,,₺₺₺,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caca618ef57d41:0xe74fa259f5fe5801?sa=X
Girandola Dondurma Caddebostan,,(0216) 514 80 11,"Caddebostan, Caddebostan İskele Sk. No:16, 34728 Kadıköy/İstanbul",₺₺,"4,4",195 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–01:00 10:00–01:00 10:00–01:00Saatler değişebilir 10:00–01:00 10:00–01:00 10:00–01:00 10:00–01:00 ,,,,,,Açılmak üzere,
Tad Dondurma,https://www.tad.com.tr/,"Bahçelievler Merkez, Deli Hüseyin Paşa Cd. No:45, 34180 Bahçelievler/İstanbul",,,"4,5",614 Google yorumu,Kafe,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cabb35bd12f915:0xe5da6a6f630e2bab?sa=X
Mini Dondurma,,(0212) 257 10 70,"Bebek, Cevdet Paşa Cd. 38/A, 34342 Beşiktaş/İstanbul",₺₺,"4,5",101 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–22:00 10:00–22:00 10:00–22:00Saatler değişebilir 10:00–22:00 10:00–22:00 11:30–22:00 10:00–22:00 ,,,,,,Açılmak üzere,
Damla Dondurma,http://damladondurma.com/,(0212) 233 49 25,"Feriköy, Kurtuluş Cd. 110/A, 34377 Şişli/İstanbul",,"4,7",379 Google yorumu,Dondurma dükkanı,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab714aeac533d:0x23933718023dc29c?sa=X
Girandola,http://www.girandola.com.tr/,(0212) 265 26 29,"Arnavutköy, Bebek Arnavutköy Cd No:109, 34345 Beşiktaş/İstanbul",,"4,6",206 Google yorumu,Dondurma dükkanı,,,,10:00–00:45 10:00–00:45 10:00–00:45Saatler değişebilir 10:00–01:30 10:00–01:30 10:00–00:30 10:00–00:45 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab6200de1ae5b:0x2b45658b1e9a0f3?sa=X
Vardarlı Dondurma & Cafe,http://vardarlidondurma.com/,(0216) 356 82 36,"Sahrayı Cedit, Mahallesi, Atatürk Cd. No: 27, 34734 Kadıköy/İstanbul",₺₺,"4,6",464 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–02:00 10:00–02:00 10:00–02:00Saatler değişebilir 10:00–02:00 10:00–02:00 10:00–02:00 10:00–02:00 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac7b705fdb513:0x7ee25145ba6ec7c9?sa=X
Hakiki Roma Dondurması,,"Şenlikköy, Yeşilköy Halkalı Cd., 34153 Bakırköy/İstanbul",,,"4,5",33 Google yorumu,,,,,,,,,,,,
Pınar Dondurma,https://eksisozluk.com/pinar-dondurma--499394,(0216) 363 94 95,"Sahrayı Cedit, İnönü Cd. 32/A, 34734 Kadıköy/İstanbul",₺,"4,4",124 Google yorumu,Dondurma dükkanı,,₺,,10:30–00:15 10:30–00:15 10:30–00:15Saatler değişebilir 10:30–00:15 10:30–00:15 10:30–00:15 10:30–00:15 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac7b6c730a979:0x446cb669c421c35?sa=X
Dondurmino Gelato,http://dondurmino.com/,(0212) 251 19 05,"Kemankeş Karamustafa Paşa, Mumhane Cd. Fransiz Geçidi İş Merk. No:108 D:B Block, 34425 Beyoğlu/İstanbul",₺₺₺,"4,2",111 Google yorumu,Dondurma dükkanı,,₺₺₺,,10:00–23:00 10:00–23:00 10:00–23:00Saatler değişebilir 10:00–00:00 10:00–00:00 10:00–00:00 10:00–23:00 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab9dc53d30ea5:0x55852fd4eafc5868?sa=X
Dondurma Dünyası,,(0212) 582 81 28,"Beştelsiz Mah., 75/2. Sok. 126/D, 34020 Zeytinburnu/İstanbul",₺₺,"3,8",40 Google yorumu,Dondurma dükkanı,,₺₺,,11:00–00:00 11:00–00:00 11:00–00:00Saatler değişebilir 11:00–00:00 11:00–00:00 Kapalı 11:00–00:00 ,,,,,,Kapalı,
Roma Dondurmacısı,,(0216) 354 73 89,"Batı, Gazi Paşa Cd. No:68, 34890 Pendik/İstanbul",₺₺,"3,3",64 Google yorumu,Dondurma dükkanı,,₺₺,,09:00–00:00 09:00–00:00 09:00–00:00Saatler değişebilir 09:00–00:00 09:00–00:00 09:00–00:00 09:00–00:00 ,,,,,,Açık,
YAŞAR Ustanın DONDURMASI,http://www.yusdo.com/,(0216) 361 14 40,"Bostancı, Prof. Dr. Ali Nihat Tarlan Cd No:33, 34744 Kadıköy/İstanbul",₺₺,"4,5",700 Google yorumu,Dondurma dükkanı,,₺₺,,11:00–23:00 11:00–23:00 11:00–23:00Saatler değişebilir 11:00–23:00 11:00–23:00 11:00–23:00 11:00–23:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac6fc21b5db6b:0x8918b9fcb42883d5?sa=X
Dondurmacci,http://www.dondurmacci.com/,(0212) 351 03 02,"Tepecik Yolu Alkent Çarşı F 4 Blok 13-5, Etiler, 34337 Beşiktaş/İstanbul",,"4,5",33 Google yorumu,Dondurma dükkanı,,,,11:30–22:00 11:30–22:00 11:30–22:00Saatler değişebilir 11:30–22:00 11:30–22:00 11:30–22:00 11:00–22:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab608cfbf4001:0x8fb54182af2bb436?sa=X
Roma Dondurma,,"Ambarlı, Çeşme Sk. 1a, 34315 Avcılar/İstanbul",,,"4,6",383 Google yorumu,Restoran,,,,11:00–23:00 11:00–23:00 11:00–23:00Saatler değişebilir 11:00–23:00 11:00–23:00 11:00–23:00 12:00–21:00 ,,,,,,Kapalı,
Cremeria Milano,,"Mecidiye, Vapur İskelesi Sk. No:11, 34347 Beşiktaş/İstanbul",,,"4,7",7 Google yorumu,Dondurma dükkanı,,,,09:00–22:00 09:00–22:00 09:00–22:00Saatler değişebilir 09:00–22:00 09:00–22:00 09:00–22:00 09:00–22:00 ,,,,,,Açık,
Bena Dondurmaları,,(0212) 520 54 40,"Gazi Mahallesi, Atik Ali Paşa Camii Sokak, Çemberlitaş No:17, 34120 Fatih/İstanbul",₺,"4,6",158 Google yorumu,Dondurma dükkanı,,₺,,09:00–20:00 09:00–20:00 09:00–20:00Saatler değişebilir 09:00–20:00 09:00–17:00 Kapalı 09:00–20:00 ,,,,,,Açık,
Liji Roma Dondurma,,(0212) 259 24 60,"Mecidiye, Çarşıağası Sk. No:13, 34347 Beşiktaş/İstanbul",,"4,1",23 Google yorumu,Dondurma dükkanı,,,,10:00–23:00 10:00–23:00 10:00–23:00Saatler değişebilir 10:00–23:00 10:00–23:00 10:00–23:00 10:00–23:00 ,,,,,,Açılmak üzere,
Özbek Dondurma,http://www.ozbekdondurma.com/?SyfNmb=1,0532 313 70 47,"Denizköşkler Mh., Denizköşkler Cad. No:51, 34315 Avcılar/İstanbul",₺₺,"4,4",199 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–00:00 10:00–00:00 10:00–00:00Saatler değişebilir 10:00–00:00 10:00–00:00 10:00–00:00 10:00–00:00 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caa1b05f553f53:0x531cb4f0565240f0?sa=X
Beşiktaş Roma,,(0212) 260 34 65,"Cihannüma, Barbaros Blv. 5/A, 34353 Beşiktaş/İstanbul",,"4,2",76 Google yorumu,Dondurma dükkanı,,,,11:30–22:00 11:30–22:00 11:30–22:00Saatler değişebilir 11:30–22:00 12:00–22:00 12:00–22:00 11:30–22:00 ,,,,,,Kapalı,
Hamdizade Dondurma,https://hamdizade-dondurma.business.site/,(0212) 427 46 46,"Pınartepe, 34500 Büyükçekmece/İstanbul",₺₺,"4,4",1.014 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–01:00 10:00–01:00 10:00–01:00Saatler değişebilir 10:00–01:00 10:00–02:00 10:00–02:00 10:00–01:00 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14b55e4dbe5e331f:0x52870f7b835a2449?sa=X
Veis Rumeli Dondurması,,(0216) 407 11 77,"Göztepe, Tütüncü Mehmet Efendi Cd. No:33, 34730 Kadıköy/İstanbul",,"4,8",57 Google yorumu,Dondurma dükkanı,,,,12:00–00:00 12:00–00:00 12:00–00:00Saatler değişebilir 12:00–00:00 12:00–00:00 12:00–00:00 12:00–00:00 ,,,,,,Kapalı,
Yaşar Usta’nın Sorbe ve Dodurması,,(0216) 550 09 00,"Caferağa, General Asım Gündüz Cd. no:92/A, 34710 Kadıköy/İstanbul",,"4,3",257 Google yorumu,Dondurma dükkanı,,,,12:00–01:00 12:00–01:00 12:00–01:00Saatler değişebilir 12:00–01:00 12:00–01:00 12:00–01:00 12:00–01:00 ,,,,,,Kapalı,
