name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Mennan Sütlü Tatlı Ve Dondurmaları,,(0232) 425 36 89,"Konak, 899. Sk. 30/A, 35250 Konak/İzmir",,"4,4",25 Google yorumu,Tatlıcı,,,,07:00–21:00 07:00–21:00 07:00–21:00Saatler değişebilir 07:00–21:00 07:00–22:00 07:00–22:00 07:00–21:00 ,,,,,,Açık,
Gelato,http://www.gelato.com.tr/,(0232) 255 36 36,"Arap Hasan, Gazeteci Hasan Tahsin Cd. 56/A, 35360 Hatay/Karabağlar/İzmir",₺₺,"4,4",530 Google yorumu,Dondurma dükkanı,,₺₺,,09:00–02:00 09:00–02:00 09:00–02:00Saatler değişebilir 09:00–02:00 09:00–02:00 09:00–02:00 09:00–02:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd94a19051c9d:0x2044afe8da65b503?sa=X
Veli Usta Dondurmacısı Bostanlı,,(0232) 336 20 19,,,"4,5",6 Google yorumu,,,,,09:00–02:00 09:00–02:00 09:00–02:00Saatler değişebilir 09:00–02:00 09:00–02:00 11:00–02:00 09:00–02:00 ,,,,,,Açık,
Cremeria Milano,http://www.cremeriamilano.com.tr/,(0232) 464 34 74,"Alsancak, 1387. Sk. No:5 D:B, 35220 Konak/İzmir",₺₺₺,"4,0",27 Google yorumu,Kafe,,₺₺₺,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd858368f72cb:0x61a8f61a163bda34?sa=X
DOĞAL 46 DONDURMA VE TATLI SARAYI,,(0232) 448 21 97,"Akıncılar, Akdoğan Cd., 35000 Buca/İzmir",,"4,6",153 Google yorumu,Tatlıcı,,,,08:30–00:30 08:30–00:30 08:30–00:30Saatler değişebilir 08:30–00:30 08:30–00:30 08:30–00:30 08:30–00:30 ,,,,,,Açık,
Baldan Dondurma,,0555 843 46 95,"Arap Hasan, 35150 Karabağlar/İzmir",,"4,3",63 Google yorumu,Dondurma dükkanı,,,,08:00–02:00 08:00–02:00 08:00–02:00Saatler değişebilir 08:00–02:00 08:00–02:00 08:00–02:00 08:00–02:00 ,,,,,,Açık,
Uğur Dondurma,,(0232) 426 50 84,"Efeler, 306/1. Sk. No:6, 35380 Buca/İzmir",,"3,8",9 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Dondurmaking,http://dondurmaking.com/,0544 795 32 24,"Atıfbey, 5. Sk. 24 A, 35410 Gaziemir/İzmir",,"4,5",42 Google yorumu,Dondurma dükkanı,,,,11:00–02:00 11:00–02:00 11:00–02:00Saatler değişebilir 11:00–02:00 11:00–02:00 11:00–02:00 11:00–02:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdfd23636d593:0xc37fba30d64c4755?sa=X
Kral Dondurma,,(0232) 365 63 66,"Gümüşpala, 7019. Sk. No:12, 35510, 35510 Bayraklı/İzmir",,"4,5",36 Google yorumu,Dondurma dükkanı,,,,10:00–21:00 10:00–21:00 10:00–21:00Saatler değişebilir 10:00–21:00 10:00–21:00 10:00–21:00 10:00–21:00 ,,,,,,Kapalı,
Bravo Patisserie,http://www.bravopatisserie.com.tr/,(0232) 336 71 71,"Bostanlı, Cemal Gürsel Cd. No:111/A, 35590 Karşıyaka/İzmir",₺₺₺,"4,4",2.294 Google yorumu,Pastane,,₺₺₺,,06:30–01:00 06:30–01:00 06:30–01:00Saatler değişebilir 06:30–01:00 06:30–01:00 06:30–01:00 06:30–01:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd9939df06cf1:0xec50e999aa69fe87?sa=X
Odelato Artisan Gelato,,(0232) 502 76 26,"Kültür, Meksika sokağı No:5A, 35220 Konak/İzmir",,"4,2",53 Google yorumu,Dondurma dükkanı,,,,12:00–18:00 12:00–18:00 12:00–18:00Saatler değişebilir 12:00–18:00 12:00–18:00 Kapalı 12:00–18:00 ,,,,,,Kapalı,
İce Cloud Dondurma,http://www.icecloud.com.tr/,(0232) 716 71 92,"Kültür, lozan Meydanı, Alsancak Mahallesi, Vasıf Çınar Blv No:19/D, 35220 Konak/İzmir",,"3,8",159 Google yorumu,Dondurma dükkanı,,,,09:00–21:00 09:00–21:00 09:00–21:00Saatler değişebilir 09:00–21:00 09:00–21:00 09:00–21:00 09:00–21:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd85d1acc0aad:0x15b51491b89aa845?sa=X
Eden Dondurma Waffle,,(0232) 337 01 01,"Bostanlı Mahallesi Yalı Cad. No:484 D:2/a, 35590 Karşıyaka",,"3,7",3 Google yorumu,Pastane,,,,08:30–02:00 08:30–02:00 08:30–02:00Saatler değişebilir 08:30–02:00 08:30–02:00 08:30–02:00 08:30–02:00 ,,,,,,Açık,
Ice Cloud,,(0232) 330 11 40,"Bostanlı Mah, Cemal Gürsel Cd. No:83/A, 35590 Karşıyaka/İzmir",,"4,1",27 Google yorumu,Dondurma dükkanı,,,,10:00–00:00 10:00–00:00 10:00–00:00Saatler değişebilir 10:00–00:00 10:00–00:00 10:00–00:00 10:00–00:00 ,,,,,,Kapalı,
Akbey Dondurma,,0538 633 55 57,"Manavkuyu, 275/10. Sk. No:6/D, 35535 Bayraklı/İzmir",,"5,0",4 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Edem,,(0232) 337 01 01,"Bostanlı, Cemal Gürsel Cd. No: 484/2 A, 35590 Karşıyaka/İzmir",₺₺,"4,2",316 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–01:00 10:00–01:00 10:00–01:00Saatler değişebilir 10:00–01:00 10:00–01:00 10:00–01:00 10:00–01:00 ,,,,,,Kapalı,
