name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Trim Hunger,http://www.trimhunger.com/contact-us/,+1 920-450-0784,"3355 W College Ave, Appleton, WI 54914, United States",,,,Association or organization,,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b7bf23524967:0x3573886a72d2c623?sa=X
Erickson Auto Trim,http://eautotrim.com/,+1 920-731-7910,"644 Valley Rd, Menasha, WI 54952, United States",,4.7,32,Auto upholsterer in Wisconsin,,,,8AM–5PM 8AM–5PM 8AM–5PM 8AM–5PM 8AM–4PM Closed Closed ,,https://www.facebook.com/EricksonAutoTrim/,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b7800bd188c9:0xf000fb5b1b982710?sa=X
Valley Planing Mill,http://www.valleyplaning.com/,+1 920-843-9106,"2601 W Wisconsin Ave, Appleton, WI 54914, United States",,4.3,11,Millwork shop in Wisconsin,,,,7AM–4:30PM 7AM–4:30PM 7AM–4:30PM 7AM–4:30PM 7AM–4:30PM Closed Closed ,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b77435b8d859:0x8803d71e8f1ded6d?sa=X
Appleton Steel,http://www.appletonsteel.com/,+1 920-830-0277,"1520 W Haskel St, Appleton, WI 54914, United States",,4.6,5,"Agricultural service in Appleton, Wisconsin",,,,8AM–4PM 8AM–4PM 8AM–4PM 8AM–4PM 8AM–4PM Closed Closed ,,https://www.facebook.com/appletonchutes/,https://www.youtube.com/channel/UCnYEFLm4DusNu-Atn-XxcAw,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b76d8507c493:0xff02d25187d95a6a?sa=X
Appleton Tree Service WI,https://www.treeserviceappleton.com/,+1 920-239-6770,,,5.0,4,Tree service,,,,Open 24 hours Open 24 hours Open 24 hours Open 24 hours Open 24 hours Open 24 hours Open 24 hours ,,,,,,,
Erickson Mobility,http://www.myericksonmobility.com/,+1 920-731-7910,"644 Valley Rd, Menasha, WI 54952, United States",,4.6,9,Auto upholsterer in Wisconsin,,,,8AM–5PM 8AM–5PM 8AM–5PM 8AM–5PM 8AM–4PM Closed Closed ,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b7800bd188c9:0x3f2dce547a7c7098?sa=X
Jason's Tree Service,http://treeserviceappletonwi.com/,+1 920-740-9790,"516 S Railroad St, Kimberly, WI 54136, United States",,4.7,37,"Tree service in Kimberly, Wisconsin",,,,7:30AM–6PM 7:30AM–6PM 7:30AM–6PM 7:30AM–6PM 7:30AM–6PM 7:30AM–6PM 7:30AM–6PM ,,https://www.facebook.com/JasonsTreeService/,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b0376a588a9d:0xd8f1e5b187286d03?sa=X
Jason's Tree Service,https://www.treeserviceappletonwi.com/,+1 920-740-9790,"Kimberly, WI 54136, United States",,3.4,7,"Tree service in Appleton, Wisconsin",,,,8AM–7PM 8AM–7PM 8AM–7PM 8AM–7PM 8AM–7PM Closed Closed ,,,,,,,
Cody's Tree Trimming Services,,+1 920-358-7061,"1789 Sanctuary Ct, Appleton, WI 54914, United States",,,,Tree service in Wisconsin,,,,7AM–8:30PM 7AM–8:30PM 7AM–8:30PM 7AM–8:30PM 7AM–8:30PM 7AM–8:30PM 7AM–8:30PM ,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b6f36ed85555:0xb867359f54d80098?sa=X
Appleton Tree Service,http://www.oshkoshtreeremoval.com/appleton-tree-service.html,+1 920-944-6570,"122 S Memorial Dr suite b, Appleton, WI 54911, United States",,,,"Tree service in Appleton, Wisconsin",,,,,,,,,,,/maps/dir//ALL+TRIM+APPLETON+WI/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8803b73be091f957:0x5c356b2cb87fb15b?sa=X
